,image,label,dataset_split
0,0.jpg,1,train
1,1.jpg,1,train
2,2.jpg,1,test
3,3.jpg,1,train
4,4.jpg,1,train
5,5.jpg,1,val
6,6.jpg,1,test
7,7.jpg,1,val
8,8.jpg,1,train
9,9.jpg,1,train
10,10.jpg,1,train
11,11.jpg,1,train
12,12.jpg,1,test
13,13.jpg,1,test
14,14.jpg,1,train
15,15.jpg,1,train
16,16.jpg,1,train
17,17.jpg,1,test
18,18.jpg,1,train
19,19.jpg,1,test
20,20.jpg,1,train
21,21.jpg,1,train
22,22.jpg,1,train
23,23.jpg,1,train
24,24.jpg,1,test
25,25.jpg,1,train
26,26.jpg,1,train
27,27.jpg,1,train
28,28.jpg,1,train
29,29.jpg,1,train
30,30.jpg,1,test
31,31.jpg,1,train
32,32.jpg,1,train
33,33.jpg,1,train
34,34.jpg,1,test
35,35.jpg,1,train
36,36.jpg,1,train
37,37.jpg,1,train
38,38.jpg,1,train
39,39.jpg,1,train
40,40.jpg,1,train
41,41.jpg,1,val
42,42.jpg,1,test
43,43.jpg,1,train
44,44.jpg,1,val
45,45.jpg,1,train
46,46.jpg,1,train
47,47.jpg,1,train
48,48.jpg,1,train
49,49.jpg,1,train
50,50.jpg,1,train
51,51.jpg,1,train
52,52.jpg,1,train
53,53.jpg,1,train
54,54.jpg,1,train
55,55.jpg,1,val
56,56.jpg,1,train
57,57.jpg,1,train
58,58.jpg,1,train
59,59.jpg,1,train
60,60.jpg,1,train
61,61.jpg,1,train
62,62.jpg,1,train
63,63.jpg,1,test
64,64.jpg,1,train
65,65.jpg,1,val
66,66.jpg,1,val
67,67.jpg,1,train
68,68.jpg,1,train
69,69.jpg,1,train
70,70.jpg,1,train
71,71.jpg,1,val
72,72.jpg,1,train
73,73.jpg,1,test
74,74.jpg,1,val
75,75.jpg,1,train
76,76.jpg,1,test
77,77.jpg,1,val
78,78.jpg,1,train
79,79.jpg,1,val
80,80.jpg,1,train
81,81.jpg,1,train
82,82.jpg,1,val
83,83.jpg,1,train
84,84.jpg,1,train
85,85.jpg,1,train
86,86.jpg,1,val
87,87.jpg,1,train
88,88.jpg,1,val
89,89.jpg,1,train
90,90.jpg,1,train
91,91.jpg,1,test
92,92.jpg,1,val
93,93.jpg,1,test
94,94.jpg,1,train
95,95.jpg,1,train
96,96.jpg,1,train
97,97.jpg,1,val
98,98.jpg,1,test
99,99.jpg,1,test
100,100.jpg,1,train
101,101.jpg,1,train
102,102.jpg,1,train
103,300.jpg,1,train
104,301.jpg,1,train
105,302.jpg,1,train
106,303.jpg,1,train
107,304.jpg,1,train
108,305.jpg,1,val
109,306.jpg,1,train
110,307.jpg,1,test
111,308.jpg,1,train
112,309.jpg,1,train
113,310.jpg,1,test
114,311.jpg,1,train
115,312.jpg,1,train
116,313.jpg,1,train
117,314.jpg,1,train
118,315.jpg,1,val
119,316.jpg,1,train
120,317.jpg,1,train
121,318.jpg,1,val
122,319.jpg,1,train
123,320.jpg,1,test
124,321.jpg,1,train
125,322.jpg,1,val
126,323.jpg,1,test
127,324.jpg,1,train
128,325.jpg,1,test
129,326.jpg,1,train
130,327.jpg,1,val
131,328.jpg,1,train
132,329.jpg,1,val
133,330.jpg,1,val
134,331.jpg,1,test
135,332.jpg,1,test
136,333.jpg,1,train
137,334.jpg,1,train
138,335.jpg,1,train
139,336.jpg,1,test
140,337.jpg,1,train
141,338.jpg,1,train
142,339.jpg,1,test
143,340.jpg,1,train
144,341.jpg,1,test
145,342.jpg,1,train
146,343.jpg,1,test
147,344.jpg,1,train
148,345.jpg,1,train
149,346.jpg,1,train
150,347.jpg,1,test
151,348.jpg,1,train
152,349.jpg,1,test
153,350.jpg,1,train
154,351.jpg,1,val
155,352.jpg,1,val
156,353.jpg,1,train
157,354.jpg,1,train
158,355.jpg,1,train
159,356.jpg,1,train
160,357.jpg,1,train
161,358.jpg,1,train
162,359.jpg,1,test
163,360.jpg,1,train
164,361.jpg,1,test
165,362.jpg,1,train
166,363.jpg,1,train
167,364.jpg,1,test
168,365.jpg,1,train
169,366.jpg,1,train
170,367.jpg,1,train
171,368.jpg,1,test
172,369.jpg,1,test
173,370.jpg,1,train
174,371.jpg,1,train
175,372.jpg,1,test
176,373.jpg,1,test
177,374.jpg,1,test
178,375.jpg,1,train
179,376.jpg,1,train
180,377.jpg,1,test
181,378.jpg,1,test
182,379.jpg,1,train
183,380.jpg,1,val
184,381.jpg,1,train
185,382.jpg,1,train
186,383.jpg,1,train
187,384.jpg,1,test
188,385.jpg,1,train
189,386.jpg,1,train
190,387.jpg,1,train
191,388.jpg,1,train
192,389.jpg,1,train
193,390.jpg,1,train
194,391.jpg,1,train
195,392.jpg,1,test
196,393.jpg,1,train
197,394.jpg,1,train
198,395.jpg,1,train
199,396.jpg,1,train
200,397.jpg,1,val
201,398.jpg,1,train
202,399.jpg,1,train
203,400.jpg,1,test
204,401.jpg,1,train
205,402.jpg,1,train
206,403.jpg,1,test
207,404.jpg,1,train
208,405.jpg,1,train
209,406.jpg,1,test
210,407.jpg,1,train
211,408.jpg,1,train
212,409.jpg,1,train
213,410.jpg,1,test
214,411.jpg,1,train
215,412.jpg,1,train
216,413.jpg,1,train
217,414.jpg,1,train
218,415.jpg,1,train
219,416.jpg,1,train
220,417.jpg,1,train
221,418.jpg,1,train
222,419.jpg,1,train
223,420.jpg,1,train
224,421.jpg,1,test
225,422.jpg,1,train
226,423.jpg,1,test
227,424.jpg,1,train
228,425.jpg,1,train
229,426.jpg,1,test
230,427.jpg,1,val
231,428.jpg,1,train
232,429.jpg,1,train
233,430.jpg,1,train
234,431.jpg,1,test
235,432.jpg,1,test
236,433.jpg,1,train
237,434.jpg,1,train
238,435.jpg,1,train
239,436.jpg,1,train
240,437.jpg,1,train
241,438.jpg,1,train
242,439.jpg,1,train
243,440.jpg,1,train
244,441.jpg,1,train
245,442.jpg,1,train
246,443.jpg,1,test
247,444.jpg,1,train
248,445.jpg,1,train
249,446.jpg,1,test
250,447.jpg,1,test
251,448.jpg,1,train
252,449.jpg,1,val
253,450.jpg,1,train
254,451.jpg,1,train
255,452.jpg,1,train
256,453.jpg,1,test
